use_id,user_id,platform,platform_version,device,use_type_id,device_clean,platform_version_numeric,platform_version_category,use_type_name,device_brand,Retail Branding,Marketing Name,Device,Model
22782,26980,ios,10.2,"iPhone7,2",2,"iPhone7,2",10.2,Android 10.x,Tablet,Apple,,,,
22783,29628,android,6.0,Nexus 5,3,Nexus 5,6.0,Android 6.x,Desktop,Google,,,,
22784,28473,android,5.1,SM-G903F,1,SM-G903F,5.1,Android 5.x,Mobile,Samsung,,,,
22785,15200,ios,10.2,"iPhone7,2",3,"iPhone7,2",10.2,Android 10.x,Desktop,Apple,,,,
22786,28239,android,6.0,ONE E1003,1,ONE E1003,6.0,Android 6.x,Mobile,OnePlus,,,,
22787,12921,android,4.3,GT-I9505,1,GT-I9505,4.3,Old (< 5.0),Mobile,Samsung,,,,
22788,28714,android,6.0,SM-G930F,1,SM-G930F,6.0,Android 6.x,Mobile,Samsung,,,,
22789,28714,android,6.0,SM-G930F,1,SM-G930F,6.0,Android 6.x,Mobile,Samsung,,,,
22790,29592,android,5.1,D2303,1,D2303,5.1,Android 5.x,Mobile,Sony,Sony,Xperia M2,D2303,D2303
22791,28775,ios,10.2,"iPhone6,2",3,"iPhone6,2",10.2,Android 10.x,Desktop,Apple,,,,
22792,28217,android,5.1,SM-G361F,1,SM-G361F,5.1,Android 5.x,Mobile,Samsung,,,,
22793,28217,android,5.1,SM-G361F,1,SM-G361F,5.1,Android 5.x,Mobile,Samsung,,,,
22794,28217,android,5.1,SM-G361F,1,SM-G361F,5.1,Android 5.x,Mobile,Samsung,,,,
22795,28217,android,5.1,SM-G361F,1,SM-G361F,5.1,Android 5.x,Mobile,Samsung,,,,
22796,29641,ios,10.2,"iPhone7,2",3,"iPhone7,2",10.2,Android 10.x,Desktop,Apple,,,,
22797,29642,ios,10.1,"iPhone5,2",3,"iPhone5,2",10.1,Android 10.x,Desktop,Apple,,,,
22798,29642,ios,10.1,"iPhone5,2",3,"iPhone5,2",10.1,Android 10.x,Desktop,Apple,,,,
22799,29643,android,6.0,ONEPLUS A3003,1,ONEPLUS A3003,6.0,Android 6.x,Mobile,OnePlus,,,,
22800,14785,android,4.4,SM-A300FU,1,SM-A300FU,4.4,Old (< 5.0),Mobile,Samsung,,,,
22801,10976,android,4.4,GT-I9505,1,GT-I9505,4.4,Old (< 5.0),Mobile,Samsung,,,,
22802,10976,android,4.4,GT-I9505,3,GT-I9505,4.4,Old (< 5.0),Desktop,Samsung,,,,
22803,29644,android,5.1,ONE E1003,3,ONE E1003,5.1,Android 5.x,Desktop,OnePlus,,,,
22804,29645,android,6.0,SM-G935F,1,SM-G935F,6.0,Android 6.x,Mobile,Samsung,,,,
22805,29646,android,4.2,GT-I9195,1,GT-I9195,4.2,Old (< 5.0),Mobile,Samsung,,,,
22806,21615,android,6.0,A0001,1,A0001,6.0,Android 6.x,Mobile,Other,OnePlus,OnePlus One,A0001,A0001
22806,21615,android,6.0,A0001,1,A0001,6.0,Android 6.x,Mobile,Other,OnePlus,OnePlus One,A0001,One
22807,29647,android,6.0,ONEPLUS A3003,1,ONEPLUS A3003,6.0,Android 6.x,Mobile,OnePlus,,,,
22808,29065,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22809,29648,ios,10.2,"iPhone7,2",3,"iPhone7,2",10.2,Android 10.x,Desktop,Apple,,,,
22810,29649,ios,10.2,"iPhone8,1",3,"iPhone8,1",10.2,Android 10.x,Desktop,Apple,,,,
22811,29650,ios,9.3,"iPad3,1",3,"iPad3,1",9.3,Android 9.x,Desktop,Apple,,,,
22812,29650,ios,9.3,"iPad3,1",3,"iPad3,1",9.3,Android 9.x,Desktop,Apple,,,,
22813,23415,android,4.4,HTC Desire 510,1,HTC Desire 510,4.4,Old (< 5.0),Mobile,HTC,,,,
22814,23415,android,4.4,HTC Desire 510,1,HTC Desire 510,4.4,Old (< 5.0),Mobile,HTC,,,,
22815,23415,android,4.4,HTC Desire 510,1,HTC Desire 510,4.4,Old (< 5.0),Mobile,HTC,,,,
22816,23415,android,4.4,HTC Desire 510,1,HTC Desire 510,4.4,Old (< 5.0),Mobile,HTC,,,,
22817,23415,android,4.4,HTC Desire 510,1,HTC Desire 510,4.4,Old (< 5.0),Mobile,HTC,,,,
22818,23415,android,4.4,HTC Desire 510,3,HTC Desire 510,4.4,Old (< 5.0),Desktop,HTC,,,,
22819,29651,android,4.4,HTC One mini 2,1,HTC One mini 2,4.4,Old (< 5.0),Mobile,HTC,,,,
22820,29651,android,4.4,HTC One mini 2,1,HTC One mini 2,4.4,Old (< 5.0),Mobile,HTC,,,,
22821,29651,android,4.4,HTC One mini 2,3,HTC One mini 2,4.4,Old (< 5.0),Desktop,HTC,,,,
22822,29651,android,4.4,HTC One mini 2,1,HTC One mini 2,4.4,Old (< 5.0),Mobile,HTC,,,,
22823,29652,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22824,28953,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22825,26668,ios,10.1,"iPhone9,4",2,"iPhone9,4",10.1,Android 10.x,Tablet,Apple,,,,
22826,26668,ios,10.1,"iPhone9,4",2,"iPhone9,4",10.1,Android 10.x,Tablet,Apple,,,,
22827,29641,ios,10.2,"iPhone7,2",3,"iPhone7,2",10.2,Android 10.x,Desktop,Apple,,,,
22828,29641,ios,10.2,"iPhone7,2",3,"iPhone7,2",10.2,Android 10.x,Desktop,Apple,,,,
22829,29653,ios,10.1,"iPhone7,2",2,"iPhone7,2",10.1,Android 10.x,Tablet,Apple,,,,
22830,29065,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22831,6541,android,4.1,GT-I8190N,1,GT-I8190N,4.1,Old (< 5.0),Mobile,Samsung,,,,
22832,29295,android,6.0,D5803,1,D5803,6.0,Android 6.x,Mobile,Other,Sony,Xperia Z3 Compact,D5803,D5803
22833,24847,android,6.0,E6653,1,E6653,6.0,Android 6.x,Mobile,Other,Sony,Xperia Z5,E6653,E6653
22834,29654,android,6.0,SM-G900F,1,SM-G900F,6.0,Android 6.x,Mobile,Samsung,,,,
22835,29352,android,6.0,SM-G920F,3,SM-G920F,6.0,Android 6.x,Desktop,Samsung,,,,
22836,29352,android,6.0,SM-G920F,3,SM-G920F,6.0,Android 6.x,Desktop,Samsung,,,,
22837,29641,ios,10.2,"iPhone7,2",3,"iPhone7,2",10.2,Android 10.x,Desktop,Apple,,,,
22838,23321,ios,9.3,"iPhone7,2",2,"iPhone7,2",9.3,Android 9.x,Tablet,Apple,,,,
22839,29655,android,6.0,A0001,1,A0001,6.0,Android 6.x,Mobile,Other,OnePlus,OnePlus One,A0001,A0001
22839,29655,android,6.0,A0001,1,A0001,6.0,Android 6.x,Mobile,Other,OnePlus,OnePlus One,A0001,One
22840,28551,android,6.0,SM-G935F,1,SM-G935F,6.0,Android 6.x,Mobile,Samsung,,,,
