Company,Industry,Social Media Presence,Follower Count,Engagement Rate (%),Brand Awareness Score,Sales Revenue (USD),Market Capitalization (USD),Employee Count,Year Founded,Headquarters
Samsung Electronics,Electronics,High,"10,000,000",5.6,8.9,$225 billion,$352 billion,"300,000",1969,South Korea
Apple Inc.,Technology,High,"15,000,000",6.8,9.5,$365 billion,$2.42 trillion,"147,000",1976,United States
Huawei Technologies,Telecommunications,Medium,"5,000,000",3.2,7.2,$122 billion,Not available,"194,000",1987,China
Sony Corporation,Electronics,High,"8,000,000",4.1,8.1,$77 billion,$138 billion,"111,700",1946,Japan
LG Electronics,Electronics,Medium,"4,000,000",2.9,6.9,$56 billion,$17 billion,"75,000",1958,South Korea
Panasonic Corporation,Electronics,Low,"1,000,000",1.5,5.2,$71 billion,$22 billion,"271,869",1918,Japan
Intel Corporation,Technology,High,"7,000,000",3.8,7.8,$77 billion,$222 billion,"116,000",1968,United States
Microsoft Corporation,Technology,High,"9,000,000",4.6,8.5,$168 billion,$2.04 trillion,"181,000",1975,United States
Cisco Systems Inc.,Technology,Medium,"3,000,000",2.2,6.1,$49 billion,$233 billion,"80,000",1984,United States
Dell Technologies Inc.,Technology,High,"6,000,000",3.5,7.4,$92 billion,$77 billion,"157,000",1984,United States
Hewlett-Packard Enterprise,Technology,High,"6,500,000",3.9,7.6,$96 billion,$23 billion,"59,400",2015,United States
Philips,Electronics,Medium,"4,500,000",2.7,6.6,$21 billion,$44 billion,"82,000",1891,Netherlands
IBM Corporation,Technology,High,"7,500,000",4.3,8.3,$73 billion,$110 billion,"352,600",1911,United States
Xiaomi Corporation,Electronics,High,"12,000,000",5.2,8.7,$26 billion,$50 billion,"23,798",2010,China
Hitachi Ltd.,Electronics,Low,"1,500,000",1.8,5.6,$81 billion,$47 billion,"302,262",1910,Japan
Toshiba Corporation,Electronics,Medium,"5,500,000",3.1,7,$35 billion,$18 billion,"132,000",1939,Japan
Sharp Corporation,Electronics,Low,"2,000,000",2,5.8,$12 billion,$3 billion,"50,000",1912,Japan
NEC Corporation,Technology,Medium,"3,500,000",2.5,6.4,$27 billion,$9 billion,"109,000",1899,Japan
Siemens AG,Technology,High,"7,800,000",4.4,8.2,$85 billion,$110 billion,"295,000",1847,Germany
Fujitsu Limited,Technology,Medium,"4,800,000",2.8,6.8,$40 billion,$18 billion,"129,000",1935,Japan
Lenovo Group Limited,Technology,High,"10,500,000",5.1,8.8,$60 billion,$16 billion,"63,000",1984,China
ASUSTeK Computer Inc.,Electronics,High,"8,200,000",4.2,8,$45 billion,$17 billion,"19,000",1989,Taiwan
Acer Inc.,Technology,Medium,"4,200,000",2.6,6.5,$19 billion,$2 billion,"7,000",1976,Taiwan
Nokia Corporation,Telecommunications,Medium,"4,300,000",2.7,6.6,$23 billion,$26 billion,"98,000",1865,Finland
Motorola Solutions Inc.,Telecommunications,Medium,"3,200,000",2.3,6.2,$8 billion,$30 billion,"17,000",2011,United States
