Age,Income
20,51
57,274
51,338
57,282
44,463
30,466
50,126
23,165
41,203
36,455
33,152
57,243
45,215
50,408
58,139
30,223
42,171
59,192
53,155
44,424
55,477
24,354
22,409
48,366
40,172
59,439
27,58
49,311
47,122
56,408
48,272
35,465
53,90
19,419
31,253
30,313
46,377
29,227
56,397
19,367
49,133
30,367
44,160
58,300
34,432
57,56
48,133
51,257
41,437
52,439
23,363
36,71
47,459
24,432
27,52
58,176
49,346
51,237
45,411
32,63
47,61
54,136
46,61
39,446
21,74
37,350
49,292
53,171
21,196
44,104
34,287
29,405
39,222
34,441
27,270
18,168
39,358
43,232
35,337
31,356
46,349
29,131
53,451
52,260
29,199
24,86
46,401
28,361
50,410
23,108
32,180
49,461
28,251
40,292
43,84
51,494
51,142
46,487
21,496
34,256
52,402
30,440
58,381
56,354
32,399
46,262
46,208
28,491
49,494
19,73
31,453
37,342
39,53
28,269
44,413
20,431
34,69
45,493
46,201
38,99
33,226
54,484
37,145
23,154
36,469
22,299
20,166
18,403
55,277
32,115
51,384
52,467
42,469
41,311
29,344
35,475
32,292
33,420
44,235
25,295
42,174
34,317
46,180
25,286
32,67
44,89
24,70
20,448
46,274
41,404
20,331
37,57
32,149
42,289
47,136
31,347
24,477
34,63
37,383
53,51
26,424
55,342
39,374
19,471
41,90
25,367
28,365
30,430
34,160
25,63
38,280
35,133
47,179
35,280
48,375
55,194
49,428
28,394
42,77
50,115
55,212
58,278
25,310
28,498
39,473
41,489
58,213
34,350
29,456
49,352
32,336
33,444
39,59
45,244
37,167
50,319
27,129
57,142
49,315
50,381
