Age,Income,cluster
20,51,2
57,274,0
51,338,0
57,282,0
44,463,0
30,466,1
50,126,2
23,165,2
41,203,2
36,455,1
33,152,2
57,243,0
45,215,0
50,408,0
58,139,0
30,223,2
42,171,2
59,192,0
53,155,0
44,424,0
55,477,0
24,354,1
22,409,1
48,366,0
40,172,2
59,439,0
27,58,2
49,311,0
47,122,2
56,408,0
48,272,0
35,465,1
53,90,2
19,419,1
31,253,1
30,313,1
46,377,0
29,227,2
56,397,0
19,367,1
49,133,2
30,367,1
44,160,2
58,300,0
34,432,1
57,56,2
48,133,2
51,257,0
41,437,1
52,439,0
23,363,1
36,71,2
47,459,0
24,432,1
27,52,2
58,176,0
49,346,0
51,237,0
45,411,0
32,63,2
47,61,2
54,136,0
46,61,2
39,446,1
21,74,2
37,350,1
49,292,0
53,171,0
21,196,2
44,104,2
34,287,1
29,405,1
39,222,2
34,441,1
27,270,1
18,168,2
39,358,1
43,232,0
35,337,1
31,356,1
46,349,0
29,131,2
53,451,0
52,260,0
29,199,2
24,86,2
46,401,0
28,361,1
50,410,0
23,108,2
32,180,2
49,461,0
28,251,1
40,292,0
43,84,2
51,494,0
51,142,2
46,487,0
21,496,1
34,256,2
52,402,0
30,440,1
58,381,0
56,354,0
32,399,1
46,262,0
46,208,0
28,491,1
49,494,0
19,73,2
31,453,1
37,342,1
39,53,2
28,269,1
44,413,0
20,431,1
34,69,2
45,493,0
46,201,0
38,99,2
33,226,2
54,484,0
37,145,2
23,154,2
36,469,1
22,299,1
20,166,2
18,403,1
55,277,0
32,115,2
51,384,0
52,467,0
42,469,1
41,311,0
29,344,1
35,475,1
32,292,1
33,420,1
44,235,0
25,295,1
42,174,2
34,317,1
46,180,2
25,286,1
32,67,2
44,89,2
24,70,2
20,448,1
46,274,0
41,404,1
20,331,1
37,57,2
32,149,2
42,289,0
47,136,2
31,347,1
24,477,1
34,63,2
37,383,1
53,51,2
26,424,1
55,342,0
39,374,1
19,471,1
41,90,2
25,367,1
28,365,1
30,430,1
34,160,2
25,63,2
38,280,1
35,133,2
47,179,2
35,280,1
48,375,0
55,194,0
49,428,0
28,394,1
42,77,2
50,115,2
55,212,0
58,278,0
25,310,1
28,498,1
39,473,1
41,489,1
58,213,0
34,350,1
29,456,1
49,352,0
32,336,1
33,444,1
39,59,2
45,244,0
37,167,2
50,319,0
27,129,2
57,142,0
49,315,0
50,381,0
