area,bedrooms,age,price
152,1,23,264.8194785550089
229,4,8,487.57434161636803
142,1,20,318.74332620500206
64,1,16,163.74988081888807
156,2,13,361.72359451156467
121,4,18,296.8503652779284
238,4,28,481.63259681459255
70,2,10,153.08236885542505
152,3,19,329.2741367458118
171,1,17,330.68514865463663
124,5,24,305.2535920025325
137,1,19,272.58827855493587
166,1,28,283.2350840962247
149,3,26,290.3584247504102
153,1,23,309.3879436282687
201,2,26,377.08826341588076
180,2,5,390.3333881330071
199,4,26,417.31061634475736
102,5,21,248.3489971332617
51,1,23,77.7917047388661
137,1,9,292.86885083145035
207,3,12,464.96149812072906
87,2,21,137.55746975508026
179,5,1,412.77608676870335
241,4,26,472.4466733624269
237,2,26,459.5965854486446
70,4,1,236.32722696794013
210,3,15,499.2606865084866
107,3,2,313.7297886960606
71,1,22,131.20184410109718
138,5,16,327.4295137629193
98,4,25,180.92411906086573
108,2,8,261.4446059202283
219,3,13,470.34024083239586
237,1,21,480.6815568101427
64,1,1,160.18307169343032
239,4,16,535.5803954272352
239,3,29,516.9821673900773
224,5,7,523.7371955462943
239,3,5,555.0513516629683
100,4,22,244.70431975133337
157,4,29,304.96338584342493
104,3,23,225.7227744543125
113,4,3,307.3777720234539
180,3,12,406.93028295646496
100,2,26,168.809706484336
184,3,16,400.73530522776827
70,3,19,177.9399487373635
122,4,5,362.5343082338512
216,4,22,484.77812478255623
67,1,25,183.5954737253467
181,1,29,311.9795731133585
138,2,14,330.16961910162036
109,1,28,199.50026017215055
63,3,5,256.6940879965302
58,4,15,136.75105143934545
139,1,17,261.80834473457674
102,1,14,204.01822063667933
179,2,20,304.2831282707058
133,2,5,305.2273493495772
141,3,12,303.2260201533891
160,4,16,366.51181359428625
237,2,26,476.2526792733148
248,1,26,534.2851251764766
221,4,16,512.5127151455815
57,4,21,123.69289033012791
224,1,7,460.04755985954927
84,2,4,240.75757514519518
130,1,1,277.3930037893807
213,4,5,555.9437629756306
99,5,23,264.3832036216386
153,5,26,313.92473043685885
181,3,10,360.6059641272737
51,1,22,136.6161712249624
183,1,5,407.5638046424215
103,3,4,311.1344893592038
155,3,2,336.167170236169
53,3,20,108.01874931138681
103,4,10,266.1573109915455
240,1,26,463.40941781294225
195,4,19,409.4980358556227
93,3,26,206.68549797042496
211,1,1,446.97138711852216
239,4,24,491.7286154493612
63,4,5,204.60886895135695
144,3,13,344.4331650217625
97,1,4,263.3484463426667
64,3,16,126.26073724486392
249,1,24,439.97657487793134
239,5,16,568.3303046569553
89,2,23,188.96942035938775
131,2,2,303.5454039033034
160,2,17,385.5345592656757
102,3,28,203.47023902878576
73,5,27,200.3789155219148
203,1,20,408.02555444230325
237,4,24,553.8224377464596
173,1,12,422.66022527329613
90,4,18,208.5310755456278
206,1,3,492.1471285286307
64,5,28,163.36127848755442
94,4,1,316.0589467259705
114,3,1,276.0522961825969
138,1,29,269.5815437999532
120,1,19,274.7527346054876
58,4,11,120.23781540730657
137,3,5,303.5022446200268
178,3,12,338.82303466719696
185,5,3,452.9177949666633
112,3,1,322.52626767387886
188,3,1,498.07071156288083
130,3,8,318.22284341259325
185,2,10,458.85846636713876
212,5,11,449.59695625355323
212,1,12,396.89852681934536
82,4,29,165.33356903310144
172,1,13,376.5219634681792
54,5,12,171.0191575571772
90,4,14,165.9767369988037
77,5,2,245.32639881461634
184,3,29,321.8659149848544
121,4,19,295.09017646490116
61,3,18,158.99794738290544
211,1,3,444.8036064101793
82,1,23,139.5839924798992
97,4,17,201.22359434333146
200,4,26,410.1196270818048
111,5,8,326.65426961503715
86,5,29,155.42821860993368
148,3,26,313.12139546553533
221,4,10,486.09227144882675
153,1,26,264.2138150321297
84,5,2,258.78908920136325
242,5,19,495.94273032741876
150,1,9,316.39052083958455
224,5,7,491.0636632223345
180,3,4,486.94175398749167
50,4,26,113.05790655915186
54,1,21,84.00823476022244
191,4,18,424.41939732202667
152,5,13,361.63015850927513
76,5,11,212.37091201400332
186,1,29,363.42500100130275
64,3,24,158.72523130141914
139,2,4,320.08496557168417
91,1,25,149.7254527806596
173,2,21,344.74844908545066
228,2,29,369.9423650579324
112,3,25,183.54426813404342
145,2,4,389.0062280233357
101,2,10,291.3490314050385
145,3,5,347.5289188133087
181,2,9,422.296708891673
200,2,24,407.3375046363061
192,2,3,537.3664242536571
220,1,17,482.5872473430373
78,1,3,203.162472255577
85,1,16,153.33378678198721
62,3,4,143.80661039227283
209,5,18,470.1039090760167
120,2,17,236.3094776414709
236,2,7,478.33238871206976
135,3,24,258.6028134727242
77,2,23,122.55355989156814
115,1,5,325.61424905217694
219,5,12,528.4491927084836
94,4,17,226.76082076050147
111,2,23,267.3983241667008
234,1,13,491.3210492294285
183,4,23,361.1614739601521
77,5,25,224.69372231808973
77,4,3,251.16730131053976
157,1,9,315.8826153702063
93,4,17,219.28983965749177
133,3,17,268.7314523984573
79,4,20,146.5160080710699
239,2,16,527.7853264259493
124,2,25,300.2824992141039
