Age,Income,LoanAmount,Married,Default
22,4567,3893,Yes,0
48,2454,516,Yes,1
54,3891,3445,Yes,1
58,7345,2841,Yes,0
37,5751,4339,No,0
39,5026,691,No,0
42,8364,3436,No,0
53,8566,3976,No,1
52,9045,1735,Yes,0
29,4185,613,Yes,0
52,4216,2946,No,0
52,3513,589,No,0
45,9492,3125,Yes,0
39,7626,4528,Yes,0
34,8359,3592,Yes,0
56,2744,4563,No,1
52,9573,3295,Yes,1
36,8745,3099,Yes,0
24,8962,781,No,0
23,8052,1187,No,0
22,5116,2422,No,0
40,2604,2388,No,0
59,8115,1757,Yes,0
22,8483,1600,Yes,0
40,8481,3417,Yes,0
27,5047,3251,No,1
55,8527,1721,Yes,0
48,3132,1974,Yes,1
58,4621,3278,Yes,0
53,7992,731,Yes,1
41,7109,1925,No,1
50,6343,1415,No,1
47,5831,3773,No,0
54,5086,3338,Yes,1
53,9703,1826,No,0
32,4878,3621,Yes,0
23,2924,3057,No,1
25,8773,2967,Yes,0
20,4640,4507,Yes,0
31,4800,1422,No,0
54,8382,2895,No,0
30,5224,3806,No,0
42,3150,3643,Yes,1
33,4191,4701,No,0
38,4512,4165,Yes,0
56,2639,1294,Yes,0
35,6590,4463,No,0
47,5054,795,No,0
50,5668,4392,No,0
26,3771,1219,No,0
46,8895,4891,Yes,0
36,7338,2674,No,0
26,6981,4860,No,0
34,8660,2546,No,0
59,6245,3268,No,1
31,2544,1782,No,1
27,7543,3371,Yes,0
21,9553,680,Yes,0
57,7986,3319,Yes,0
45,8250,3867,Yes,0
40,7586,4395,Yes,0
32,3639,3380,Yes,1
38,8503,4795,No,0
37,9587,2572,Yes,0
21,3594,2878,No,0
47,8913,532,Yes,1
42,6584,4530,No,0
23,9604,1008,Yes,0
23,7009,934,No,0
31,9341,2147,No,1
41,4838,2727,No,1
45,7630,2983,No,0
59,6149,2149,No,1
54,4009,4156,Yes,0
23,2330,3572,No,1
31,4543,4821,Yes,1
23,4944,4360,No,1
50,5875,3595,Yes,0
26,2881,3078,No,1
29,5155,3632,Yes,0
43,8494,2659,Yes,0
34,6679,943,Yes,0
58,9207,2701,No,0
39,7975,626,Yes,0
26,5573,3066,Yes,0
32,7971,2523,Yes,1
47,6982,2859,Yes,0
58,5406,1507,Yes,0
37,5101,2024,No,0
30,9187,593,Yes,1
55,2293,4027,No,1
55,6097,4056,No,0
21,2133,4996,No,1
36,8505,4511,No,1
25,9249,691,No,1
42,9843,913,No,0
35,4637,1758,No,0
45,8169,2051,Yes,0
20,2609,3831,No,1
55,6725,2888,Yes,1
49,8621,1045,No,0
21,6550,4315,No,0
39,4490,768,Yes,0
24,7533,1374,No,0
50,8737,1038,Yes,0
27,6501,955,No,1
49,7264,1436,No,1
58,5358,4381,No,0
21,8583,1424,No,0
32,2464,2801,No,0
23,5230,4227,Yes,0
27,5084,1758,No,1
58,7722,680,No,0
44,5539,4061,No,1
26,9568,1213,No,0
33,8236,4604,No,0
48,5622,2292,No,0
40,3378,4884,Yes,1
56,3543,1618,No,0
52,4666,1288,Yes,0
44,8309,2755,No,0
33,2014,560,No,0
28,6721,4366,No,0
34,6736,2264,Yes,0
26,6576,4018,Yes,1
21,7762,2995,Yes,0
50,3061,2978,No,0
26,9087,3958,No,0
30,7182,3856,No,1
32,6541,2102,Yes,0
32,4574,4296,Yes,0
45,9229,916,No,0
27,2892,4954,No,1
33,2361,3356,Yes,1
21,3105,1646,No,0
34,6645,3033,No,0
43,4270,4810,No,0
53,3427,4777,No,1
23,4490,2058,Yes,1
37,5078,2740,No,0
44,5940,2184,Yes,0
43,4010,1939,Yes,0
25,5655,2912,Yes,0
53,2845,2580,No,0
57,4289,1604,Yes,0
22,5918,1081,No,0
38,8086,3489,No,0
55,9392,4602,Yes,1
38,8707,2156,No,1
47,5937,2540,No,0
29,9427,2661,No,0
37,5200,3268,No,1
23,3128,4443,No,1
31,3662,2289,Yes,0
46,9294,2914,No,0
48,8477,787,Yes,0
31,4654,1938,Yes,1
30,4213,1321,No,0
23,9793,3848,Yes,0
43,9732,534,No,1
45,6947,4618,No,0
47,3794,4253,No,1
23,8114,2289,No,0
55,7613,2897,Yes,0
34,3248,829,No,0
41,7646,3384,No,0
43,6610,1906,Yes,1
43,6955,4208,No,0
56,5034,1262,No,0
24,6462,4241,Yes,0
25,5310,2234,Yes,0
29,2672,889,No,0
22,6050,4391,Yes,0
57,4999,4813,Yes,1
53,4425,2373,Yes,1
25,3312,2007,No,0
29,5486,3469,No,0
35,6867,3927,No,0
48,3759,4124,No,1
22,7353,3241,No,1
30,7339,4399,Yes,0
56,7367,1362,No,0
23,3871,4809,Yes,1
23,6976,1203,No,0
43,5178,1994,Yes,0
47,3755,2669,No,0
54,4159,4834,Yes,0
57,3557,4974,No,1
43,6254,3293,No,0
41,4747,1122,No,0
45,8996,3212,No,0
37,8943,4039,Yes,0
22,6166,2492,Yes,0
30,3760,3013,Yes,1
28,5463,2361,Yes,0
52,8733,2527,Yes,0
45,5261,1177,No,0
55,6344,582,Yes,0
23,9384,2841,Yes,1
21,5295,3855,No,1
