gold,estate,cryto,stock,class,risk,profit
14.96,41.76,1024.07,73.17,B,Y,463.26
25.18,62.96,1020.04,59.08,B,N,444.37
5.11,39.4,1012.16,92.14,B,N,488.56
20.86,57.32,1010.24,76.64,B,Y,446.48
10.82,37.5,1009.23,96.62,C,N,473.9
26.27,59.44,1012.23,58.77,A,N,443.67
15.89,43.96,1014.02,75.24,C,Y,467.35
9.48,44.71,1019.12,66.43,B,N,478.42
14.64,45,1021.78,41.25,B,N,475.98
11.74,43.56,1015.14,70.72,B,Y,477.5
17.99,43.72,1008.64,75.04,C,N,453.02
20.14,46.93,1014.66,64.22,A,Y,453.99
24.34,73.5,1011.31,84.15,A,Y,440.29
25.71,58.59,1012.77,61.83,B,N,451.28
26.19,69.34,1009.48,87.59,C,N,433.99
21.42,43.79,1015.76,43.08,B,N,462.19
18.21,45,1022.86,48.84,C,Y,467.54
11.04,41.74,1022.6,77.51,C,N,477.2
14.45,52.75,1023.97,63.59,A,N,459.85
13.97,38.47,1015.15,55.28,C,N,464.3
17.76,42.42,1009.09,66.26,C,Y,468.27
5.41,40.07,1019.16,64.77,B,Y,495.24
7.76,42.28,1008.52,83.31,C,N,483.8
27.23,63.9,1014.3,47.19,B,Y,443.61
27.36,48.6,1003.18,54.93,C,Y,436.06
27.47,70.72,1009.97,74.62,C,N,443.25
14.6,39.31,1011.11,72.52,C,N,464.16
7.91,39.96,1023.57,88.44,A,Y,475.52
5.81,35.79,1012.14,92.28,B,N,484.41
30.53,65.18,1012.69,41.85,C,N,437.89
23.87,63.94,1019.02,44.28,B,Y,445.11
26.09,58.41,1013.64,64.58,C,Y,438.86
29.27,66.85,1011.11,63.25,A,Y,440.98
27.38,74.16,1010.08,78.61,A,Y,436.65
24.81,63.94,1018.76,44.51,B,Y,444.26
12.75,44.03,1007.29,89.46,C,Y,465.86
24.66,63.73,1011.4,74.52,C,Y,444.37
16.38,47.45,1010.08,88.86,A,Y,450.69
13.91,39.35,1014.69,75.51,A,Y,469.02
23.18,51.3,1012.04,78.64,C,N,448.86
22.47,47.45,1007.62,76.65,A,N,447.14
13.39,44.85,1017.24,80.44,C,Y,469.18
9.28,41.54,1018.33,79.89,A,N,482.8
11.82,42.86,1014.12,88.28,B,Y,476.7
10.27,40.64,1020.63,84.6,B,Y,474.99
22.92,63.94,1019.28,42.69,B,Y,444.22
16,37.87,1020.24,78.41,C,Y,461.33
21.22,43.43,1010.96,61.07,A,Y,448.06
13.46,44.71,1014.51,50,C,N,474.6
9.39,40.11,1029.14,77.29,B,N,473.05
31.07,73.5,1010.58,43.66,A,Y,432.06
12.82,38.62,1018.71,83.8,B,N,467.41
32.57,78.92,1011.6,66.47,A,N,430.12
8.11,42.18,1014.82,93.09,B,Y,473.62
13.92,39.39,1012.94,80.52,B,Y,471.81
23.04,59.43,1010.23,68.99,C,Y,442.99
27.31,64.44,1014.65,57.27,C,Y,442.77
5.91,39.33,1010.18,95.53,C,N,491.49
25.26,61.08,1013.68,71.72,C,N,447.46
27.97,58.84,1002.25,57.88,C,Y,446.11
26.08,52.3,1007.03,63.34,B,N,442.44
29.01,65.71,1013.61,48.07,C,N,446.22
12.18,40.1,1016.67,91.87,B,N,471.49
13.76,45.87,1008.89,87.27,B,N,463.5
25.5,58.79,1016.02,64.4,B,Y,440.01
28.26,65.34,1014.56,43.4,B,N,441.03
21.39,62.96,1019.49,72.24,A,N,452.68
7.26,40.69,1020.43,90.22,C,N,474.91
10.54,34.03,1018.71,74,C,N,478.77
27.71,74.34,998.14,71.85,C,N,434.2
23.11,68.3,1017.83,86.62,C,N,437.91
7.51,41.01,1024.61,97.41,C,Y,477.61
26.46,74.67,1016.65,84.44,B,Y,431.65
29.34,74.34,998.58,81.55,C,N,430.57
10.32,42.28,1008.82,75.66,B,N,481.09
22.74,61.02,1009.56,79.41,C,N,445.56
13.48,39.85,1012.71,58.91,C,N,475.74
25.52,69.75,1010.36,90.06,C,N,435.12
21.58,67.25,1017.39,79,C,N,446.15
27.66,76.86,1001.31,69.47,C,Y,436.64
26.96,69.45,1013.89,51.47,B,Y,436.69
12.29,42.18,1016.53,83.13,C,N,468.75
15.86,43.02,1012.18,40.33,C,Y,466.6
13.87,45.08,1024.42,81.69,C,N,465.48
24.09,73.68,1014.93,94.55,B,N,441.34
20.45,69.45,1012.53,91.81,C,N,441.83
15.07,39.3,1019,63.62,C,N,464.7
32.72,69.75,1009.6,49.35,B,N,437.99
18.23,58.96,1015.55,69.61,C,Y,459.12
35.56,68.94,1006.56,38.75,C,Y,429.69
18.36,51.43,1010.57,90.17,C,N,459.8
26.35,64.05,1009.81,81.24,B,N,433.63
25.92,60.95,1014.62,48.46,C,Y,442.84
8.01,41.66,1014.49,76.72,B,Y,485.13
19.63,52.72,1025.09,51.16,C,Y,459.12
20.02,67.32,1012.05,76.34,A,Y,445.31
10.08,40.72,1022.7,67.3,C,N,480.8
27.23,66.48,1005.23,52.38,A,N,432.55
23.37,63.77,1013.42,76.44,C,Y,443.86
18.74,59.21,1018.3,91.55,A,Y,449.77
14.81,43.69,1017.19,71.9,C,Y,470.71
23.1,51.3,1011.93,80.05,C,Y,452.17
10.72,41.38,1021.6,63.77,C,Y,478.29
29.46,71.94,1006.96,62.26,A,Y,428.54
8.1,40.64,1020.66,89.04,C,N,478.27
27.29,62.66,1007.63,58.02,C,N,439.58
17.1,49.69,1005.53,81.82,C,Y,457.32
11.49,44.2,1018.79,91.14,C,N,475.51
23.69,65.59,1010.85,88.92,C,Y,439.66
13.51,40.89,1011.03,84.83,C,Y,471.99
9.64,39.35,1015.1,91.76,B,N,479.81
